FINISH,1,结束
W_SIFT,2,等待筛选
W_I1,3,等待初轮面试
W_I2,4,等待最终面试
W_OC,5,等待offer确认
W_TW,6,等待入职
W_ARR_S,7,等待安排(筛选后)
W_ARR_I1,8,等待安排(初轮面试后)
